ID,URL,ESTADO,ALCANCE,INSTITUCIÓN,NOMBRE,BENEFICIARIO,INICIO,FIN,MONTO,FECHA_EXTRACCION
246,https://fondos.gob.cl/ficha/mincap/papmi2024/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",PROGRAMA DE APOYO PARA LA PARTICIPACIÓN EN MERCADOS INTERNACIONALES 2024- FONDO AUDIOVISUAL- MIPCOM/MIPJR 2024- FRANCIA,Personas Naturales y Jurídicas,15/07/2024,30/07/2024,No aplica,2024-11-26 10:42:25
247,https://fondos.gob.cl/ficha/mincap/mipcancun/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",PROGRAMA DE APOYO PARA LA PARTICIPACIÓN EN MERCADOS INTERNACIONALES– FONDO AUDIOVISUAL- MIPCANCÚN,Personas Naturales y Jurídicas,15/07/2024,30/07/2024,No aplica,2024-11-26 10:42:25
248,https://fondos.gob.cl/ficha/suseso/investigacioneinnovacion/,CERRADO,Nacional,Superintendencia de Seguridad Social,CONVOCATORIA ESTUDIOS DE INVESTIGACIÓN E INNOVACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Personas Naturales y Jurídicas,15/07/2024,16/08/2024,Valores máximos entre $9.885.150 y $92.261.400,2024-11-26 10:42:25
249,https://fondos.gob.cl/ficha/muncruz/fondeve2024delacruz/,CERRADO,Comunal,Ilustre Municipalidad de la Cruz,FONDEVE 2024,Organizaciones,15/07/2024,25/08/2024,Entre $500.000 y $800.000,2024-11-26 10:42:25
250,https://fondos.gob.cl/ficha/sernac/fcac/,CERRADO,Nacional,Servicio Nacional del Consumidor (SERNAC),FONDO CONCURSABLE SERNAC PARA EL FINANCIAMIENTO DE INICIATIVAS DE ASOCIACIONES DE CONSUMIDORES. SEGUNDO LLAMADO 2024,Organizaciones,17/07/2024,13/08/2024,Entre $3.000.000 a $75.000.000,2024-11-26 10:42:25
251,https://fondos.gob.cl/ficha/mincap/fpa2024segundollamado/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",FORMACIÓN DE PÚBLICOS PARA EL AUDIOVISUAL 2024- SEGUNDO LLAMADO,Persona Jurídica,17/07/2024,14/08/2024,Entre $25.000.000 y $30.000.000,2024-11-26 10:42:25
252,https://fondos.gob.cl/ficha/muninunoa/fondeve2024nunoa/,CERRADO,Comunal,I. Municipalidad de Ñuñoa,FONDO DE DESARROLLO VECINAL (FONDEVE) 2024- Municipalidad de Ñuñoa.,Organizaciones,17/07/2024,14/08/2024,Entre $5.000.000 a $7.000.000,2024-11-26 10:42:25
253,https://fondos.gob.cl/ficha/sercotec/pcfn/,CERRADO,Nacional,Servicio de Cooperación Técnica - SERCOTEC,PROGRAMA CONFEDERACIONES Y FEDERACIONES NACIONALES,Persona Jurídica,17/07/2024,31/07/2024,Hasta $20.000.000,2024-11-26 10:42:25
254,https://fondos.gob.cl/ficha/mincap/mercadosinternacionales/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",PROGRAMA DE APOYO PARA LA PARTICIPACIÓN EN MERCADOS INTERNACIONALES – FONDO AUDIOVISUAL-VENTANA SUR,Personas Naturales y Jurídicas,19/07/2024,02/08/2024,No aplica,2024-11-26 10:42:25
255,https://fondos.gob.cl/ficha/mincap/fondart2025/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",FONDART NACIONAL 2025,Personas Naturales y Jurídicas,19/07/2024,26/08/2024,Entre $7.500.000 y $25.000.000,2024-11-26 10:42:25
256,https://fondos.gob.cl/ficha/mincap/fondartregional2025/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",FONDART REGIONAL 2025,Personas Naturales y Jurídicas,19/07/2024,26/08/2024,Entre $12.000.000 y $60.000.000,2024-11-26 10:42:25
257,https://fondos.gob.cl/ficha/suseso/cuesoevaluadoresenseguridadysalud/,CERRADO,Nacional,Superintendencia de Seguridad Social,CONCURSO EVALUADORES(AS) EXTERNOS(AS) ESTUDIOS DE INVESTIGACIÓN E INNOVACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO,Persona Natural,22/07/2024,11/08/2024,Entre $80.000 y $100.000 por proyecto evaluado,2024-11-26 10:42:25
258,https://fondos.gob.cl/ficha/mincap/fondoaudiovisual2025/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",FONDO AUDIOVISUAL 2025,Personas Naturales y Jurídicas,23/07/2024,29/08/2024,Entre 6.000.000 y 325.000.000,2024-11-26 10:42:25
259,https://fondos.gob.cl/ficha/prochile/concursoservicios/,CERRADO,Nacional,Dirección General de Promoción de Exportaciones - ProChile,SERVICIOS,Persona Jurídica,25/07/2024,21/08/2024,Hasta $25.000.000,2024-11-26 10:42:25
