ID,URL,ESTADO,ALCANCE,INSTITUCIÓN,NOMBRE,BENEFICIARIO,INICIO,FIN,MONTO,FECHA_EXTRACCION,DESCRIPCION,CATEGORIA,WEB
62,https://fondos.gob.cl/ficha/subtrab/dialogo-social/,CERRADO,Nacional,Subsecretaria del Trabajo - SUBTRAB,Programa Diálogo Social,Personas Naturales y Jurídicas,07/06/2022,07/07/2022,$12.133.333,2024-11-26 11:22:45,"Este Fondo tiene por objetivo la  promoción del diálogo social, a través de instancias bipartitas o tripartitas, en sus distintos niveles de negociación, consulta o intercambio de información, donde trabajadores, empresarios y Gobierno -en su caso- obtengan como resultados acuerdos y/o soluciones fundadas en el consenso. Crear las condiciones necesarias para que tanto trabajadores y empleadores, como principales actores de la relación laboral puedan enfrentar de manera más eficiente, efectiva y equilibrada las instancias de diálogo social y los nuevos desafíos de las relaciones laborales. Potenciar el sentido de pertenencia e identidad de los trabajadores y empleadores con sus organizaciones sindicales y empresariales, respectivamente, y un reconocimiento mutuo entre ellas como actores relevantes para el desarrollo de relaciones laborales basadas en la colaboración y el diálogo social.",Participación Ciudadana,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=doilWPfIOjlStA8KirnQcg==
63,https://fondos.gob.cl/ficha/mincap/pfp/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Programa de Formación de Públicos para el Audiovisual - Fondo Audiovisual,-,08/06/2022,08/07/2022,-,2024-11-26 11:22:49,"Esta convocatoria tiene por objetivo entregar financiamiento total o parcial a iniciativas de formación de públicos para el audiovisual de todas las edades, incluidos los públicos infantiles, presentadas por salas de cinearte o centros culturales, que tengan como fin enriquecer la recepción de las obras audiovisuales por parte de los/as espectadores/as, a través de experiencias significativas de disfrute, apreciación crítica y aprendizaje. La apreciación del cine nacional debe considerarse entre los objetivos específicos del proyecto.",Arte y cultura,https://www.fondosdecultura.cl/fondos/fondo-audiovisual/lineas-de-concurso/convocatorias-de-publicos-del-audiovisual-2022/
64,https://fondos.gob.cl/ficha/mincap/fmma-audiovisual/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Formación de Mediadoras y Mediadores del Audiovisual – Fondo Audiovisual,-,08/06/2022,08/07/2022,-,2024-11-26 11:22:54,"Esta convocatoria tiene por objetivo el financiamiento total o parcial de actividades de formación colectiva y gratuita en mediación del audiovisual, dirigida a personas con formación técnica o profesional del campo audiovisual y otras disciplinas, presentados por personas jurídicas de derecho público o privado, con o sin fines de lucro, a cargo de salas de cine arte y/o de centros culturales.",Arte y cultura,https://www.fondosdecultura.cl/fondos/fondo-audiovisual/lineas-de-concurso/convocatorias-de-publicos-del-audiovisual-2022/
65,https://fondos.gob.cl/ficha/mincap/cer-audiovisual/,CERRADO,Nacional,"Ministerio de las Culturas, las Artes y el Patrimonio",Cineclubes Escolares en Red - Fondo Audiovisual,-,08/06/2022,08/07/2022,-,2024-11-26 11:22:59,"Esta convocatoria tiene por objetivo entregar financiamiento total o parcial para proyectos presentados por personas jurídicas, que tengan a cargo salas de cine arte y/o centros culturales para la creación y articulación de redes ya existentes de cineclubes escolares, entendidos como espacios de visionado, valoración y apreciación crítica de obras audiovisuales, en establecimientos educacionales de enseñanza básica y media. Los proyectos deberán formar a docentes como mediadoras y mediadores del audiovisual, con especial énfasis en cine nacional e iberoamericano.",Arte y cultura,https://www.fondosdecultura.cl/convocatorias-de-publicos-del-audiovisual-2022/
66,https://fondos.gob.cl/ficha/anid/fdccr/,CERRADO,Nacional,Agencia Nacional de Investigacion y Desarrollo - ANID,VII Concurso de Fortalecimiento y Desarrollo de Centros Regionales de Desarrollo Científico y Tecnológico – 2022,Organizaciones,14/06/2022,19/07/2022,$300.000.000,2024-11-26 11:23:04,"Continuar contribuyendo al desarrollo territorial de la Región en que se inserta el Centro Regional mediante el desarrollo de actividades de investigación científica y desarrollo tecnológico de excelencia, la producción, difusión, divulgación y uso de conocimiento y tecnología, para la creación de valor en las líneas de investigación abordadas por el Centro, considerando vinculación con sectores productivos, con las comunidades y con su entorno regional, incorporando las diversas dinámicas socioculturales, económicas y ambientales.

El proyecto debe continuar orientado a los dos ámbitos de trabajo definidos en el VI Concurso de Fortalecimiento y Desarrollo de Centros Regionales de Desarrollo Científico y Tecnológico-2019: generar y/o adaptar conocimiento desde la investigación científica y desarrollo tecnológico y a la gestión del conocimiento y la tecnología, que permita crear valor en el territorio.",Ciencia y tecnología,https://s3.amazonaws.com/documentos.anid.cl/centros/concursos/2022/FortalecimientoDesarrolloCentrosRegDesarroCientifTecnolog/BASES-Y-CONVENIO-TIPO-FORT-DE-CENTROS-REGIONALES-2022.pdf
67,https://fondos.gob.cl/ficha/anid/sia/,CERRADO,Nacional,Agencia Nacional de Investigacion y Desarrollo - ANID,Subvención a la Instalación en la Academia,Organizaciones,16/06/2022,02/08/2022,$182.000.000,2024-11-26 11:23:09,"Este concurso tiene por objetivo contribuir al fortalecimiento de las capacidades institucionales en I+D+i de universidades chilenas, a través de la instalación de personas con grado académico de doctor, que inician o continúan su carrera de investigación en unidades académicas. Dichas universidades deben contar con acreditación institucional.",Investigación y desarrollo,https://s3.amazonaws.com/documentos.anid.cl/BecasChile/2022/SubvencionInstalacionAcademia/Resolucion_bases_instalacion_academia_2022.pdf
68,https://fondos.gob.cl/ficha/anid/estudios-pluralismo-sistema-informativo-nacional/,CERRADO,Nacional,Agencia Nacional de Investigacion y Desarrollo - ANID,Estudios sobre Pluralismo en el Sistema Informativo Nacional,Organizaciones,16/06/2022,19/07/2022,-,2024-11-26 11:23:14,"Financiar la realización de estudios académicos que permitan detectar, evaluar, fomentar o consolidar el pluralismo en el Sistema Informativo Nacional. Se entenderá como Sistema Informativo Nacional el conjunto de medios de comunicación social que informan hechos, producen contenidos y elaboran parrillas programáticas de interés general, y que han sido fundados, editados, establecidos, operados o mantenidos por personas naturales o jurídicas en función de la garantía constitucional establecida en el artículo 19 número 12 de la Constitución Política de la República.",Investigación y desarrollo,https://www.anid.cl/concursos/
69,https://fondos.gob.cl/ficha/subdere/pmgm/,CERRADO,Comunal,Subsecretaría De Desarrollo Regional y Administrativo - SUBDERE,Postulación a fondos del Programa Mejoramiento de la Gestión Municipal (PMGM),Organizaciones,05/07/2022,08/08/2022,Entre $0 hasta $16.000.000,2024-11-26 11:23:20,"Este fondo financia proyectos en materia de fortalecimiento de la gestión municipal, entregando recursos a las municipalidades para implementación de acciones de mejora enfocadas en aplicar herramientas de gestión, desarrollo de sistemas de información, mejora de capacidades del personal municipal y apoyo en estudios de pre-inversión, con el fin de fortalecer procesos en materia de gestión municipal.
Los proyectos postulante deberán focalizarse  en el fortalecimiento de la gestión en Fomento Productivo, Desarrollo Económico Local y Emprendimiento",Investigación y desarrollo,http://desarrollomunicipal.subdere.gov.cl/
70,https://fondos.gob.cl/ficha/sermig/fim/,CERRADO,Nacional,Servicio Nacional de Migraciones - SERMIG,Fondo Inclusión Migraciones,Organizaciones,07/07/2022,18/07/2022,Hasta $8.000.000,2024-11-26 11:23:26,"El concurso que se presenta tiene como finalidad entregar fondos a distintas organizaciones que se mencionan con detalle en el ítem respectivo de las presentes bases, para el financiamiento de un proyecto por cada postulante, que tenga por objeto favorecer o fortalecer la inclusión de la población migrante en el ámbito nacional y que permita el encuentro entre chilenos y extranjeros.
Con estos fondos se pretende financiar de manera total o parcial proyectos culturales, deportivos y de intermediación cultural, con un enfoque inclusivo que permitan la participación tanto de población extranjera como chilena o que busquen sensibilizar a la población nacional respecto de la migración en términos generales.
Por último, cabe destacar que se espera poder financiar total o parcialmente aproximadamente 12 proyectos a lo menos, cada uno por un monto total $8.000.000.- (ocho millones de pesos).",Inclusión y desarrollo social,https://serviciomigraciones.cl/
71,https://fondos.gob.cl/ficha/subpesca/pesca-y-acuicultura/,CERRADO,Nacional,Subsecretaria de Pesca y Acuicultura  - SUBPESCA,Programa de Apoyo Social para ex trabajadores de la pesca industrial,Persona Natural,14/07/2022,16/08/2022,40UF,2024-11-26 11:23:32,"El Artículo 173 de la Ley General de Pesca, define el programa de Apoyo Social, que consite en la entrega de un aporte pecuniario no reembolsable por un monto que no podrá exceder de 40 Unidades de Fomento Anuales. Este beneficio se otrogorá en forma anual hasta por un periodo de tres años, mientras se mantenga el cumplimiento los requisitos exigidos para su otorgamiento.",Inclusión y desarrollo social,http://www.subpesca.cl
